राघ्,भ्वादि,सेट्,आ०,राघृँ॒ साम॑र्थ्ये  
लाघ्,भ्वादि,सेट्,आ०,लाघृँ॒ साम॑र्थ्ये  
द्राघ्,भ्वादि,सेट्,आ०,द्राघृँ॒ साम॑र्थ्ये    द्राघृँ॒ आया॒मे च॑
घ्राघ्,भ्वादि,सेट्,आ०,ध्राघृँ॒ साम॑र्थ्ये इत्यपि॑ केचित्  
श्लाघ्,भ्वादि,सेट्,आ०,श्लाघृँ॒ कत्थ॑ने  
फक्क्,भ्वादि,सेट्,प०,फक्कँ नि॒चैर्ग॑तौ  
तक्,भ्वादि,सेट्,प०,तकँ हस॑ने  
तङ्क्,भ्वादि,सेट्,प०,तकिँ कृच्च्रजीव॒ने  
बुक्क्,भ्वादि,सेट्,प०,बुक्कँ भष॑णे  
शुक्,भ्वादि,सेट्,प०,शुकँ गतौ॑  
कख्,भ्वादि,सेट्,प०,कखँ हस॑ने  
ओख्,भ्वादि,सेट्,प०,ओखृँ शोषणालम॒र्थ्योः  
राख्,भ्वादि,सेट्,प०,राखृँ शोषणालम॒र्थ्योः  
लाख्,भ्वादि,सेट्,प०,लाखृँ शोषणालम॒र्थ्योः  
द्राख्,भ्वादि,सेट्,प०,द्राखृँ शोषणालम॒र्थ्योः  
ध्राख्,भ्वादि,सेट्,प०,ध्राखृँ शोषणालम॒र्थ्योः  
शाख्,भ्वादि,सेट्,प०,शाखृँ व्या॑प्तौ  
श्लाख्,भ्वादि,सेट्,प०,श्लाखृँ व्या॑प्तौ  
उख्,भ्वादि,सेट्,प०,उखँ गत्य॑र्थः  
उङ्ख्,भ्वादि,सेट्,प०,उखिँ गत्य॑र्थः  
वख्,भ्वादि,सेट्,प०,वखँ गत्य॑र्थः  
वङ्ख्,भ्वादि,सेट्,प०,वखिँ गत्य॑र्थः  
मख्,भ्वादि,सेट्,प०,मखँ गत्य॑र्थः  
मङ्ख्,भ्वादि,सेट्,प०,मखिँ गत्य॑र्थः  
नख्,भ्वादि,सेट्,प०,णखँ गत्य॑र्थः  
नङ्ख्,भ्वादि,सेट्,प०,णखिँ गत्य॑र्थः  
रख्,भ्वादि,सेट्,प०,रखँ गत्य॑र्थः  
रङ्ख्,भ्वादि,सेट्,प०,रखिँ गत्य॑र्थः  
लख्,भ्वादि,सेट्,प०,लखँ गत्य॑र्थः  
लङ्ख्,भ्वादि,सेट्,प०,लखिँ गत्य॑र्थः  
इख्,भ्वादि,सेट्,प०,इखँ गत्य॑र्थः  
इङ्ख्,भ्वादि,सेट्,प०,इखिँ गत्य॑र्थः  
ईख्,भ्वादि,सेट्,प०,ईखिँ गत्य॑र्थः  
ईङ्ख्,भ्वादि,सेट्,प०,ईखिँ गत्य॑र्थः  
वल्ग्,भ्वादि,सेट्,प०,वल्गँ गत्य॑र्थः  
रङ्ग्,भ्वादि,सेट्,प०,रगिँ गत्य॑र्थः  
लङ्ग्,भ्वादि,सेट्,प०,लगिँ गत्य॑र्थः  
अङ्ग्,भ्वादि,सेट्,प०,अगिँ गत्य॑र्थः  
वङ्ग्,भ्वादि,सेट्,प०,वगिँ गत्य॑र्थः  
मङ्ग्,भ्वादि,सेट्,प०,मगिँ गत्य॑र्थः  
तङ्ग्,भ्वादि,सेट्,प०,तगिँ गत्य॑र्थः  
त्वङ्ग्,भ्वादि,सेट्,प०,त्वगिँ गत्य॑र्थः    त्वगिँ कम्प॑ने च
त्रङ्ग्,भ्वादि,सेट्,प०,त्रगिँ गत्य॑र्थः  
श्रङ्ग्,भ्वादि,सेट्,प०,श्रगिँ (श्वगिँ ष्वगिँ) गत्य॑र्थः  
श्वङ्ग्,भ्वादि,सेट्,प०,श्रगिँ (श्वगिँ ष्वगिँ) गत्य॑र्थः  
स्वङ्ग्,भ्वादि,सेट्,प०,श्रगिँ (श्वगिँ ष्वगिँ) गत्य॑र्थः  
श्लङ्ग्,भ्वादि,सेट्,प०,श्लगिँ गत्य॑र्थः  
इङ्ग्,भ्वादि,सेट्,प०,इगिँ गत्य॑र्थः  
रिङ्ग्,भ्वादि,सेट्,प०,रिगिँ गत्य॑र्थः  
लिङ्ग्,भ्वादि,सेट्,प०,लिगिँ गत्य॑र्थाः  
मुङ्ख्,भ्वादि,सेट्,प०,मुखिँ गत्य॑र्थः इत्यपि॒ केचि॑त्  
थङ्क्,भ्वादि,सेट्,प०,थकिँ गत्य॑र्थः इत्यपि॒ केचि॑त्  
रिख्,भ्वादि,सेट्,प०,रिखँ गत्य॑र्थः इत्यपि॒ केचि॑त्  
रिङ्ख्,भ्वादि,सेट्,प०,रिखिँ गत्य॑र्थः इत्यपि॒ केचि॑त्  
लिख्,भ्वादि,सेट्,प०,लिखँ गत्य॑र्थः इत्यपि॒ केचि॑त्  
लिङ्ख्,भ्वादि,सेट्,प०,लिखिँ गत्य॑र्थः इत्यपि॒ केचि॑त्  
त्रख्,भ्वादि,सेट्,प०,त्रखँ गत्य॑र्थः इत्यपि॒ केचि॑त्  
त्रिङ्ख्,भ्वादि,सेट्,प०,त्रिखिँ गत्य॑र्थः इत्यपि॒ केचि॑त्  
शिङ्ख्,भ्वादि,सेट्,प०,शिखिँ गत्य॑र्थः इत्यपि॒ केचि॑त्  
युङ्ग्,भ्वादि,सेट्,प०,युगिँ वर्ज॑ने  
जुङ्ग्,भ्वादि,सेट्,प०,जुगिँ वर्ज॑ने  
बुङ्ग्,भ्वादि,सेट्,प०,बुगिँ वर्ज॑ने  
वुङ्ग्,भ्वादि,सेट्,प०,वुगिँ वर्ज॑ने इत्येके॑  
घघ्,भ्वादि,सेट्,प०,घघँ हस॑ने  
घग्घ्,भ्वादि,सेट्,प०,घग्घँ हस॑ने इत्येके॑  
दङ्घ्,भ्वादि,सेट्,प०,दघिँ पाल॑ने  
लङ्घ्,भ्वादि,सेट्,प०,लघिँ शोष॑णे (भा॒षायां॒ दीप्तौ॑ सीमातिक्र॒मे च॑)  
मङ्घ्,भ्वादि,सेट्,प०,मघिँ मण्ड॑ने  
शिङ्घ्,भ्वादि,सेट्,प०,शिघिँ आ॒घ्राणे॑  
अर्घ्,भ्वादि,सेट्,प०,अर्घँ मूल्ये॑  
वर्च्,भ्वादि,सेट्,आ०,वर्चँ॒ दीप्तौ॑  
सच्,भ्वादि,सेट्,आ०,षचँ॒ सेच॑ने॒ सेव॑ने च  
लोच्,भ्वादि,सेट्,आ०,लोचृँ॒ दर्श॑ने  
शच्,भ्वादि,सेट्,आ०,शचँ॒ व्य॑क्तायां वा॒चि  
श्वच्,भ्वादि,सेट्,आ०,श्वचँ॒ गतौ॑  
श्वञ्च्,भ्वादि,सेट्,आ०,श्वचिँ॒ गतौ॑  
कच्,भ्वादि,सेट्,आ०,कचँ॒ बन्ध॑ने  
कञ्च्,भ्वादि,सेट्,आ०,कचिँ॒ दीप्तिबन्ध॒नयोः॑  
